piece_name,category,basis
King,Taikyoku royal,Project default; physical size unverified
Flying goose,Taikyoku medium,Project default; physical size unverified
Strutting crow,Taikyoku medium,Project default; physical size unverified
Blind dog,Taikyoku medium,Project default; physical size unverified
Water general,Taikyoku medium,Project default; physical size unverified
Fire general,Taikyoku medium,Project default; physical size unverified
Phoenix,Taikyoku medium,Project default; physical size unverified
Kirin,Taikyoku medium,Project default; physical size unverified
Hook mover,Taikyoku medium,Project default; physical size unverified
Little turtle,Taikyoku medium,Project default; physical size unverified
Great turtle,Taikyoku medium,Project default; physical size unverified
Capricorn,Taikyoku medium,Project default; physical size unverified
Tile chariot,Taikyoku medium,Project default; physical size unverified
Vertical wolf,Taikyoku medium,Project default; physical size unverified
Side ox,Taikyoku medium,Project default; physical size unverified
Donkey,Taikyoku medium,Project default; physical size unverified
Flying horse,Taikyoku medium,Project default; physical size unverified
Fierce bear,Taikyoku medium,Project default; physical size unverified
Angry boar,Taikyoku medium,Project default; physical size unverified
Evil wolf,Taikyoku medium,Project default; physical size unverified
Wind horse,Taikyoku medium,Project default; physical size unverified
Flying chicken,Taikyoku medium,Project default; physical size unverified
Old monkey,Taikyoku medium,Project default; physical size unverified
Huai chicken,Taikyoku medium,Project default; physical size unverified
Northern barbarian,Taikyoku medium,Project default; physical size unverified
Southern barbarian,Taikyoku medium,Project default; physical size unverified
Western barbarian,Taikyoku medium,Project default; physical size unverified
Eastern barbarian,Taikyoku medium,Project default; physical size unverified
Fierce stag,Taikyoku medium,Project default; physical size unverified
Fierce wolf,Taikyoku medium,Project default; physical size unverified
Treacherous fox,Taikyoku medium,Project default; physical size unverified
Center master,Taikyoku medium,Project default; physical size unverified
Peng master,Taikyoku medium,Project default; physical size unverified
Earth chariot,Taikyoku medium,Project default; physical size unverified
Vermillion sparrow,Taikyoku medium,Project default; physical size unverified
Blue dragon,Taikyoku medium,Project default; physical size unverified
Enchanted badger,Taikyoku medium,Project default; physical size unverified
Horseman,Taikyoku medium,Project default; physical size unverified
Swooping owl,Taikyoku medium,Project default; physical size unverified
Climbing monkey,Taikyoku medium,Project default; physical size unverified
Cat sword,Taikyoku medium,Project default; physical size unverified
Swallow's wings,Taikyoku medium,Project default; physical size unverified
Blind monkey,Taikyoku medium,Project default; physical size unverified
Blind tiger,Taikyoku medium,Project default; physical size unverified
Ox chariot,Taikyoku medium,Project default; physical size unverified
Side flyer,Taikyoku medium,Project default; physical size unverified
Blind bear,Taikyoku medium,Project default; physical size unverified
Old rat,Taikyoku medium,Project default; physical size unverified
Square mover,Taikyoku medium,Project default; physical size unverified
Coiled serpent,Taikyoku medium,Project default; physical size unverified
Reclining dragon,Taikyoku medium,Project default; physical size unverified
Free eagle,Taikyoku medium,Project default; physical size unverified
Lion hawk,Taikyoku medium,Project default; physical size unverified
Chariot soldier,Taikyoku medium,Project default; physical size unverified
Side soldier,Taikyoku medium,Project default; physical size unverified
Vertical soldier,Taikyoku medium,Project default; physical size unverified
Wind general,Taikyoku medium,Project default; physical size unverified
River general,Taikyoku medium,Project default; physical size unverified
Mountain general,Taikyoku medium,Project default; physical size unverified
Front standard,Taikyoku medium,Project default; physical size unverified
Horse soldier,Taikyoku medium,Project default; physical size unverified
Wood general,Taikyoku medium,Project default; physical size unverified
Ox soldier,Taikyoku medium,Project default; physical size unverified
Earth general,Taikyoku medium,Project default; physical size unverified
Boar soldier,Taikyoku medium,Project default; physical size unverified
Stone general,Taikyoku medium,Project default; physical size unverified
Leopard soldier,Taikyoku medium,Project default; physical size unverified
Tile general,Taikyoku medium,Project default; physical size unverified
Bear soldier,Taikyoku medium,Project default; physical size unverified
Iron general,Taikyoku medium,Project default; physical size unverified
Great standard,Taikyoku medium,Project default; physical size unverified
Great master,Taikyoku medium,Project default; physical size unverified
Right chariot,Taikyoku medium,Project default; physical size unverified
Left chariot,Taikyoku medium,Project default; physical size unverified
Side monkey,Taikyoku medium,Project default; physical size unverified
Vertical mover,Taikyoku medium,Project default; physical size unverified
Flying ox,Taikyoku medium,Project default; physical size unverified
Longbow soldier,Taikyoku medium,Project default; physical size unverified
Vertical pup,Taikyoku medium,Project default; physical size unverified
Vertical horse,Taikyoku medium,Project default; physical size unverified
Cannon soldier,Taikyoku medium,Project default; physical size unverified
Dragon horse,Taikyoku medium,Project default; physical size unverified
Dragon king,Taikyoku medium,Project default; physical size unverified
Sword soldier,Taikyoku medium,Project default; physical size unverified
Horned hawk,Taikyoku medium,Project default; physical size unverified
Flying eagle,Taikyoku medium,Project default; physical size unverified
Spear soldier,Taikyoku medium,Project default; physical size unverified
Vertical leopard,Taikyoku medium,Project default; physical size unverified
Fierce tiger,Taikyoku medium,Project default; physical size unverified
Crossbow soldier,Taikyoku medium,Project default; physical size unverified
Roaring dog,Taikyoku medium,Project default; physical size unverified
Lion dog,Taikyoku medium,Project default; physical size unverified
Dog,Taikyoku medium,Project default; physical size unverified
Go-between,Taikyoku medium,Project default; physical size unverified
Pawn,Taikyoku small,Project default; physical size unverified
