piece_name,front_characters,alternate_front_characters,promotes_to,back_characters,promotion_only_target,notes
Reclining dragon,臥龍,,Great dragon,大龍,False,
Free eagle,奔鷲,,,,False,
Lion hawk,獅鷹,,,,False,
Chariot soldier,車兵,,Heavenly tetrarch king,四天王,True,
Side soldier,横兵,,Water ox,水牛,False,
Vertical soldier,竪兵,,Chariot soldier,車兵,False,
Wind general,風将,,Fierce wind,暴風,True,
River general,川将,,Huai river,淮川,True,
Mountain general,山将,,Mount Tai,泰山,True,
Front standard,前旗,,Great standard,大旗,False,
Horse soldier,馬兵,,Running horse,走馬,False,
Wood general,木将,,White elephant,白象,False,
Ox soldier,牛兵,,Running ox,走牛,True,
Earth general,土将,,White elephant,白象,False,
Boar soldier,猪兵,,Running boar,走猪,True,
Stone general,石将,,White elephant,白象,False,
Leopard soldier,豹兵,,Running leopard,走豹,True,
Tile general,瓦将,,White elephant,白象,False,
Bear soldier,熊兵,,Strong bear,強熊,True,
Iron general,鉄将,,White elephant,白象,False,
Great standard,大旗,,,,False,
Great master,大師,,,,False,
Right chariot,右車,,Right iron chariot,右鉄車,True,
Left chariot,左車,,Left iron chariot,左鉄車,True,
Side monkey,横猿,,Side soldier,横兵,False,
Vertical mover,竪行,,Flying ox,飛牛,False,
Flying ox,飛牛,,Fire ox,火牛,True,
Longbow soldier,弩兵,,Longbow general,弩将,True,
Vertical pup,竪狗,,Leopard king,豹王,True,
Vertical horse,竪馬,,Dragon horse,龍馬,False,
Cannon soldier,炮兵,,Cannon general,炮将,True,
Dragon horse,龍馬,,Horned hawk,角鷹,False,
Dragon king,龍王,,Flying eagle,飛鷲,False,
Sword soldier,刀兵,,Sword general,刀将,True,
Horned hawk,角鷹,,Great hawk,大鷹,True,
Flying eagle,飛鷲,,Great eagle,大鷲,True,
Spear soldier,鎗兵,,Spear general,鎗将,True,
Vertical leopard,竪豹,,Great leopard,大豹,True,
Fierce tiger,猛虎,,Great tiger,大虎,True,
Crossbow soldier,弓兵,,Crossbow general,弓将,True,
Roaring dog,吼犬,,Lion dog,狛犬,False,
Lion dog,狛犬,,Great elephant,大象,True,
Dog,犬,,Multi general,雜将,True,
Go-between,仲人,,Drunken elephant,酔象,False,
Pawn,歩兵,,Gold general,と金,False,Wikipedia labels the promoted form as Gold general / tokin with the characters と金.
